0.77		0.8		0.39		0.35		0.23	1.0
0		0		0		0		0.04	0.0
0.86		0.53		0.55		0.16		0.19	1.0
0		0		0		0		0.04	0.0
0.89		0.52		0.65		0.16		0.26	1.0
0		0		0		0		0.04	0.0
0.8		0.61		0.55		0.24		0.25	1.0
0		0		0		0		0.04	0.0
0.86		0.71		0.68		0.08		0.13	1.0
0		0		0		0		0.04	0.0
0.7		0.58		0.48		0.22		0.23	1.0
0		0		0		0		0.04	0.0
0.9		0.68		0.68		0.3		0.16	1.0
0		0		0		0		0.04	0.0
0.8		0.74		0.58		0.24		0.11	1.0
0		0		0		0		0.04	0.0
0.83		0.57		0.61		0.43		0.35	1.0
0		0		0		0		0.04	0.0
0.77		0.53		0.45		0.14		0.3	1.0
0		0		0		0		0.04	0.0
0.76		0.46		0.71		0.22		0.19	1.0
0		0		0		0		0.04	0.0
0.86		0.68		0.58		0.43		0.18	1.0
0		0		0		0		0.04	0.0
0.87		0.65		0.55		0.41		0.34	1.0
0		0		0		0		0.04	0.0
0.88		0.6		0.61		0.41		0.51	1.0
0		0		0		0		0.04	0.0
0.8		0.44		0.48		0.32		0.31	1.0
0		0		0		0		0.04	0.0
0.89		0.69		0.68		0.19		0.28	1.0
0		0		0		0		0.04	0.0
0.73		0.51		0.42		0.32		0.1	1.0
0		0		0		0		0.04	0.0
0.85		0.73		0.55		0.22		0.2	1.0
0		0		0		0		0.04	0.0
0.78		0.41		0.65		0.32		0.32	1.0
0		0		0		0		0.04	0.0
0.72		0.61		0.48		0.27		0.25	1.0
0		0		0		0		0.04	0.0
0.9		0.81		0.77		0.22		0.17	1.0
0		0		0		0		0.04	0.0
1		0.63		0.94		0.22		0.17	1.0
0		0		0		0		0.04	0.0
0.95		0.61		0.74		0.27		0.32	1.0
0		0		0		0		0.04	0.0
0.85		0.56		0.58		0.22		0.07	1.0
0		0		0		0		0.04	0.0
0.82		0.63		0.45		0.3		0.18	1.0
0		0		0		0		0.04	0.0
0.89		0.84		0.48		0.35		0.29	1.0
0		0		0		0		0.04	0.0
0.76		0.46		0.52		0.41		0.15	1.0
0		0		0		0		0.04	0.0
0.81		0.68		0.68		0.35		0.2	1.0
0		0		0		0		0.04	0.0
0.88		0.44		0.71		0.49		0.51	1.0
0		0		0		0		0.04	0.0
0.86		1		0.74		0.54		0.18	1.0
0		0		0		0		0.04	0.0
0.68		0.52		0.55		0.57		0.36	1.0
0		0		0		0		0.04	0.0
0.77		0.56		0.58		0.51		0.11	1.0
0		0		0		0		0.04	0.0
0.74		0.59		0.45		0.51		0.01	1.0
0		0		0		0		0.04	0.0
0.83		0.51		0.65		0.49		0.32	1.0
0		0		0		0		0.04	0.0
0.8		0.85		0.48		0.76		0.15	1.0
0		0		0		0		0.04	0.0
0.89		0.75		0.74		0.59		0.15	1.0
0		0		0		0		0.04	0.0
0.92		0.77		0.87		0.46		0.2	1.0
0		0		0		0		0.04	0.0
0.79		0.53		0.65		0.51		0	1.0
0		0		0		0		0.04	0.0
0.82		0.5		0.42		0.59		0.17	1.0
0		0		0		0		0.04	0.0
0.79		0.62		0.58		0.43		0.29	1.0
0		0		0		0		0.04	0.0
0.84		0.39		0.55		0.54		0.13	1.0
0		0		0		0		0.04	0.0
0.84		0.62		0.65		0.32		0.08	1.0
0		0		0		0		0.04	0.0
0.74		0.56		0.52		0.43		0.46	1.0
0		0		0		0		0.04	0.0
0.82		0.81		0.74		0.46		0.09	1.0
0		0		0		0		0.04	0.0
0.86		0.59		0.84		0.41		0.14	1.0
0		0		0		0		0.04	0.0
0.86		0.73		0.77		0.54		0.01	1.0
0		0		0		0		0.04	0.0
0.83		0.55		0.45		0.27		0.17	1.0
0		0		0		0		0.04	0.0
0.9		0.46		0.39		0.41		0.34	1.0
0		0		0		0		0.04	0.0
0.81		0.71		0.39		0.51		0.11	1.0
0		0		0		0		0.04	0.0
0.81		0.57		0.39		0.59		0.21	1.0
0		0		0		0		0.04	0.0
0.87		0.78		0.58		0.51		0.14	1.0
0		0		0		0		0.04	0.0
0.85		0.75		0.48		0.51		0.24	1.0
0		0		0		0		0.04	0.0
0.79		0.46		0.48		0.73		0.34	1.0
0		0		0		0		0.04	0.0
0.86		0.55		0.52		0.43		0.02	1.0
0		0		0		0		0.04	0.0
0.86		0.53		0.52		0.43		0.07	1.0
0		0		0		0		0.04	0.0
0.79		0.73		0.35		0.22		0.12	1.0
0		0		0		0		0.04	0.0
0.8		0.9		0.48		0.27		0.17	1.0
-0.1		-0.67		0		0		0	1.7
-1.14		0.45		0		0		0	1.5
0.42		-0.67		0		0		0	1.8
1.46		-0.67		0		0		0	1.5
-0.62		1.57		0		0		0	1.6
